Gewerk,Stadtteil,Betrieb / Firma,Adresse,Telefon,Sterne / Bew.,Maps Link,Website,Website  Link,gemachte website  link
Maler,Eidelstedt,AJW Malerwerkstatt,Baumacker 3A,040 5711138,"5,0 (1)",https://maps.app.goo.gl/RCwqvmvvafrYKUxk8,Alte Website,https://ajw-hamburg.de/werkstaetten/malerwerkstatt/,
Dachdecker,Eidelstedt,Elb Bedachung,Fuchsienweg 6A,040 84302717,"5,0 (3)",https://maps.app.goo.gl/LENZ9sfYpuKLQsDs6,Alte Website,http://www.elbbedachung.de/,
Dachdecker,Eidelstedt,Markus Wiese Dachdeckermeister,Olloweg 92,040 5709330,"5,0 (3)",https://maps.app.goo.gl/KxszwDmx5xGsCySx5,Alte Website,http://www.hamburgs-dachdecker.de/,
Tischlerei,Eidelstedt,Tischlerei Sven Kloss,Baumacker 1A,040 5506892,"5,0 (6)",https://maps.app.goo.gl/PffgYQfSQua6FabS8,Keine Website,,
Sanitär,Eidelstedt,Noetzel GmbH,Schachblumenweg 4,040 5710834,"5,0 (7)",https://maps.app.goo.gl/iY9HkQ8wxFU3a4Ud6,Konkurenz,https://sanitaerfinden.com/55177-noetzel-gmbh,
Bau/Fliesen,Stellingen / Bahrenfeld,A.M Bausanierung,Luruper Chaussee,0155 63604152,"5,0 (1)",https://maps.app.goo.gl/pjrsV98QfGkcxuD5A,Keine Website,,
Tischlerei,Stellingen / Bahrenfeld,Körber Peter Tischlerei,Daimlerstr. 75A,040 371887,"5,0 (1)",https://maps.app.goo.gl/68kkiJdCz6FepPJv5,Keine Website,,
Heizung/Sanitär,Stellingen / Bahrenfeld,T.B. Service Heizung & Sanitär,Volksparkstr. 50a,0177 5551618,"5,0 (2)",https://maps.app.goo.gl/5X4syaD1ZeWfhftLA,Alte Website,https://www.tbs-handwerk.com/,
Maler,Stellingen / Bahrenfeld,Thomas Hinrichs Malereibetrieb,Doerriesweg 6,040 543248,"5,0 (2)",https://maps.app.goo.gl/5yJFGJXoFvfb7tQJ9,Konkurenz,https://malerfinder.de/11224-thomas-hinrichs-malereibetrieb,
Elektriker,Stellingen / Bahrenfeld,"Elektro-Maurer, W.",Torstr. 33,040 8511478,"5,0 (4)",https://maps.app.goo.gl/yZJpjSEN8zD76Mx4A,Konkurenz,https://elektrikerportal.com/hamburg/14990-elektro-maurer-w,
Maler,Stellingen / Bahrenfeld,Carsten Stick Malerei GmbH,Vogt-Kölln-Str. 112,040 542823,"3,5 (6)",https://maps.app.goo.gl/Hum246qdzfqjpuyv6,Keine Website,,
Sanitär / Heizung / Klempner,Osdorf,Zaboli Haustechnik,Brandstücken 23,0157 36167798,"5,0 (7)",https://maps.app.goo.gl/RbnFUJi9C3jrftJy9,Logistische Probleme,https://zaboli-haustechnik.de/,
Sanitär / Heizung / Klempner,Lurup,Erich Baar & Söhne GmbH,Sprützkamp 7,040 841510,"4,4 (10)",https://maps.app.goo.gl/R8HFT1ewVyyrxizG6,Alte Website,http://www.baar-gmbh.de/,
Sanitär / Heizung / Klempner,Stellingen,Peter Kron Haustechnik GmbH,Kronsaalsweg 74b,040 5404252,"4,2 (10)",https://maps.app.goo.gl/NihvY422r3jJWTFX8,Alte Website,http://www.kron-haustechnik.de/,
Sanitär / Heizung / Klempner,Bahrenfeld,Gehrke Heizungs- u. Sanitärtechnik,Schnackenburgallee 203,040 5406709,"4,4 (14)",https://maps.app.goo.gl/nMEt6w6ZbGEHYTnd6,Alte Website,https://www.gehrke-hamburg.de/,
Sanitär / Heizung / Klempner,Schnelsen,BUS Sanitärtechnik GmbH,Pinneberger Str. 12,040 84053226,"4,9 (15)",https://maps.app.goo.gl/FsguzPiDN9LFGpK59,Alte Website,https://www.bus-sanitaertechnik.com/,
Sanitär / Heizung / Klempner,Lurup,Michael Grahl Sanitärtechnik GmbH,Ueckerstraße 9,040 85322633,"4,5 (20)",https://maps.app.goo.gl/U1B96tYDxh3i8aVr5,Alte Website,https://www.michael-grahl.de/,
Elektriker,Lurup,Elektro Rodin Hamburg,Flurstraße 80d,0176 55661590,"5,0 (8)",https://maps.app.goo.gl/oQsj8Ami6PChipRF7,Alte Website,https://www.elektro-rodin.com/,
Elektriker,Schnelsen,Norbert Ganschow Elektroinstallation,Kalvslohtwiete 8,040 5583903,"4,9 (10)",https://maps.app.goo.gl/ovBA9ezPfBD3mN7g8,Konkurenz,https://elektrikerportal.com/14979-norbert-ganschow-elektroinstallation,
Elektriker,Osdorf,Elektro BAS,Brandstücken 33,0176 61071918,"5,0 (12)",https://maps.app.goo.gl/an9S7zocz7x9sLf97,Alte Website,https://www.elektrobas.de/,
Elektriker,Lurup,Albertsen Elektro GmbH,Luruper Hauptstraße 52,040 834160,"3,9 (12)",https://maps.app.goo.gl/Y3A3YR3bVxUrp7W4A,Alte Website,https://albertsen-elektro.de/,
Elektriker,Eidelstedt,Dr. Henry A. Meyer GmbH,Reichsbahnstraße 84,040 291448,"4,7 (14)",https://maps.app.goo.gl/shzPAEzRanREEiRn7,Alte Website,https://drmeyergmbh.de/,
Elektriker,Lurup,Laube Elektrotechnik,Warthestraße 50,040 38681015,"4,5 (16)",https://maps.app.goo.gl/2FVTf8XkCqhNCaf98,Gute Website / Schlechte präsenz,https://laube-elektrotechnik.de/,
Elektriker,Lurup,Luruper Elektroservice GmbH & Co. KG,Sprützmoor 80,040 46992136,"4,6 (18)",https://maps.app.goo.gl/YRoq2wd9QF3ThnEY6,Konkurenz,https://elektrikerportal.com/15000-luruper-elektroservice-gmbh-cokg,
Elektriker,Eidelstedt,AF Elektro GmbH,Ottensener Str. 8,040 54809377,"4,9 (19)",https://maps.app.goo.gl/BsZeVrmm58cNx3DV7,Alte Website,https://af-elektro.de/,
Elektriker,Stellingen,Herbert Lindsten Elektro-Anlagen GmbH,Volksparkstraße 48,040 5473720,"3,6 (23)",https://maps.app.goo.gl/jS4Bfh1PdfxUrpQv8,Alte Website,https://lindsten.de/,
Elektriker,Eimsbüttel,Maximilian Täschner Elektrotechnik,Lutterothstraße 3,0176 57946452,"5,0 (32)",https://maps.app.goo.gl/PrMTupr1N2aQJPQg7,Keine Website,,
Maler,Bahrenfeld,Eggert Malermeister,Langbehnstraße 15,040 85150350,"4,0 (8)",https://maps.app.goo.gl/s4kn4dG3DNTUZjjb9,Alte Website,http://www.meister-eggert.de/,
Maler,Bahrenfeld,Lehnert Malerei GmbH,Lederstraße 15,040 8005969,"3,1 (9)",https://maps.app.goo.gl/tZ7Fth8mFsFNSCjH7,Alte Website,https://lehnert-malerei.de/,
Maler,Bahrenfeld,Martin Meyer GmbH Malerbetrieb,Theodorstraße 41r,040 8904540,"5,0 (13)",https://maps.app.goo.gl/8uqXWyXzUXLGKcdd8,Alte Website,https://martinmeyergmbh.de/geruestbau-hamburg/,
Dachdecker,Osdorf,Jürgen Främbs,Harderweg 17,040 80020250,"4,5 (8)",https://maps.app.goo.gl/g43YXcFo43PCkcaf9,Alte Website,https://www.fraembs-dach.de/,
Dachdecker,Lurup,HDS Engel,Luruper Hauptstraße 258,0163 9832750,"5,0 (9)",https://maps.app.goo.gl/sMT1AebZ5mzbDcyU9,Alte Website,https://nochganzdicht.de/,
Dachdecker,Eidelstedt,Die Dachexperten,Lohkampstraße 275,040 21988883,"4,1 (9)",https://maps.app.goo.gl/jzonZPemSLSTF9oz8,Alte Website,https://www.diedachexperten.de/,
Dachdecker,Lurup,Dachdeckerei Andreas Goldberg,Laubsängerweg 17 f,0173 4577797,"5,0 (14)",https://maps.app.goo.gl/9Vykp9wj8tAWNBJd9,Keine Website,,
Tischler,Stellingen,Mile Spehar GmbH Tischlerei,Gutenbergstraße 61 A,040 6411086,"4,5 (11)",https://maps.app.goo.gl/SQcHZqFCo69QjyoBA,Alte Website,https://www.tischlermeister-hamburg.com/,
